Código 2,Producto,PUBLICO TIENDA
B-XIAR9C,BATERIA XIAOMI REDMI 9C / 9A BN56,1690
B-XIAR9T,BATERIA XIAOMI REDMI 9T / POCO M3 / REDMI NOTE 9 4G / BN62,1690
B-XIAMIA1,BATERIA XIAOMI REDMI A1,1690
B-XIAREDGO,BATERIA XIAOMI REDMI GO / BM3A,1690
B-XIARN10,BATERIA XIAOMI REDMI NOTE 10 / BN59,1690
B-XIARN11P,BATERIA XIAOMI REDMI NOTE 11 PRO / BM5A,1690
B-XIARN11S,BATERIA XIAOMI REDMI NOTE 11S / BN5D,1690
B-XIARN12P-5G,BATERIA XIAOMI REDMI NOTE 12 PRO 5G,1890
B-XIARN13,BATERIA XIAOMI REDMI NOTE 13 BN5P,1790
B-XIAN3,BATERIA XIAOMI REDMI NOTE 3 / NOTE 3 PRO / NOTE 3 PRIME  / BM46,1690
B-XIAN3P,BATERIA XIAOMI REDMI NOTE 3 PRO (4100MAH) / BM47,1690
B-XIARN4,BATERIA XIAOMI REDMI NOTE 4 / BN41,1690
B-XIAMIN4X,BATERIA XIAOMI REDMI NOTE 4X / BN41 / BN43,1690
B-XIAN5PRO,BATERIA XIAOMI REDMI NOTE 5 PRO / NOTE 5 / BN45,1690
B-XIARN5A,BATERIA XIAOMI REDMI NOTE 5A / NOTE 5A PRIME / S2 / BN31,1690
B-XIAN7,BATERIA XIAOMI REDMI NOTE 7 / BN4A,1690
B-XIAN7P,BATERIA XIAOMI REDMI NOTE 7 PRO / BN4A,1690
B-XIANOTE8,BATERIA XIAOMI REDMI NOTE 8 / NOTE 6 / 7 / BN46,1690
B-XIANOTE8P,BATERIA XIAOMI REDMI NOTE 8 PRO / BM4J,1690
B-XIARN9,BATERIA XIAOMI REDMI NOTE 9 BN53 / BN52,1690
B-XIARNOTE9S,BATERIA XIAOMI REDMI NOTE 9S / NOTE 9 PRO BN54 / BN55,1690
B-ZTEA7,BATERIA ZTE A7 2019 / A5 2020 / A4,0
CAR-IPH11-B,CARCASA IPHONE 11 BLANCA,4500
CAR-IPH11-N,CARCASA IPHONE 11 NEGRO,4500
CAR-IPH11PRO-N,CARCASA IPHONE 11 PRO NEGRO,7590
CAR-IPH12PR-N,CARCASA IPHONE 12 PRO NEGRO,6500
CAR-IPH12-B,CARCASA IPHONE 12 TODOS LOS COLORES,4500
CAR-IPH13-B,CARCASA IPHONE 13 BLANCO,0
